word,tier
der Hund,1
die Katze,1
das Haus,1
der Apfel,1
das Brot,1
die Milch,1
das Wasser,1
der Tisch,1
die Tür,1
das Fenster,1
der Mann,1
die Frau,1
das Kind,1
der Tag,1
die Nacht,1
das Bett,1
der Stuhl,1
die Schule,1
das Auto,1
der Bus,1
die Straße,1
das Essen,1
der Kaffee,1
die Stadt,1
das Land,1
der Freund,1
die Familie,1
das Geld,1
der Morgen,1
die Hand,1
der Kopf,1
das Auge,1
die Arbeit,1
der Name,1
das Jahr,1
sein,1
haben,1
gehen,1
kommen,1
machen,1
essen,1
trinken,1
sehen,1
sagen,1
denken,1
schlafen,1
arbeiten,1
wohnen,1
heißen,1
sprechen,1
verstehen,1
brauchen,1
mögen,1
wollen,1
können,1
müssen,1
sollen,1
dürfen,1
werden,1
der Baum,1
die Blume,1
das Tier,1
der Vogel,1
das Buch,1
der Stift,1
das Papier,1
die Schule,1
der Lehrer,1
die Zeit,1
die Woche,1
der Monat,1
das Leben,1
die Welt,1
der Himmel,1
die Erde,1
das Feuer,1
die Luft,1
der Weg,1
die Frage,1
die Antwort,1
das Beispiel,1
der Teil,1
die Seite,1
das Wort,1
der Satz,1
die Zahl,1
das Problem,1
die Lösung,1
der Grund,1
das Ende,1
der Anfang,1
die Mitte,1
der Platz,1
der Raum,1
die Stelle,1
das Ding,1
die Sache,1
finden,1
suchen,1
nehmen,1
geben,1
bringen,1
